,Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,76,USBLC6-4SC6,"Trans Voltage Suppressor Diode, 5V V(RWM), Unidirectional, 1 Element, Silicon","D4A, D4B",Unknown server,Unknown server,2,STMicroelectronics,USBLC6-4SC6,Volume Production,Mouser,511-USBLC6-4SC6,0.5362,1.07
,55,66200421022,"WR-MPC3 Dual Row Right Angled Header with Plastic Pegs, THT, pitch 3mm, 4pins","J2A, J2B, J2C, P2, P3",Unknown server,Unknown server,5,Molex,43045-0401,Volume Production,Mouser,538-43045-0401,2.5,12.49
,60,G5V-2-DC12,Low Signal Relay 12VDC Coil 8-Blade Terminal 125VAC/DC 2A 2 Poles PCB Mounting DPDT,"K1, K2, K3, K4, K5, K6, K7",Unknown server,Unknown server,7,Omron,G5V-2-DC12,Volume Production,Mouser,653-G5V-2-DC12,4.09,28.63
,54,66200221022,"WR-MPC3 Dual Row Right Angled Header with Plastic Pegs, THT, pitch 3mm, 2pins","P4, P5, P7, P8",Unknown server,Unknown server,4,Molex,43045-0201,Volume Production,Mouser,538-43045-0201,1.42,5.7
,57,BU4S584G2,IC INVERTER SCHMITT 1CH 5SSOP,U5,Unknown server,Unknown server,1,Rohm,BU4S584G2-TR,Volume Production,Mouser,755-BU4S584G2-TR,0.93452,0.93452
,57,3221-14-0100-00,CONN HEADER VERT 14POS 1.27MM,J1,Unknown server,Unknown server,1,CNC Tech,3221-14-0100-00,,,,,
,56,66200621022,"WR-MPC3 Dual Row Right Angled Header with Plastic Pegs, THT, pitch 3mm, 6pins","P6, P9",Unknown server,Unknown server,2,Molex,43045-0600,Volume Production,Mouser,538-43045-0600,2.47,4.93
,38,4u7 50V 5% X7R 0603,"Capacitor, Ceramic, SMD, 4u7, 50V, 5%, X7R, 0603",C5,Unknown server,Unknown server,1,Kyocera AVX,06033C470KAT2A,Volume Production,Mouser,581-06033C470KAT2A,0.27576,0.27576
,47,100nF 50V X7R 0603,100nF 50V X7R 0603,"C6A, C6B, C8A, C8B, C15A, C15B, C15C, C17A, C17B, C17C, C18, C19, C20, C21, C22, C26A, C26B, C28, C46, C50",Unknown server,Unknown server,20,Samsung,CL10B104KB8NNWC,Volume Production,Mouser,187-CL10B104KB8NNWC,0.01992,0.39832
,53,470nF 50V 5% X5R 0603,"Capacitor, Ceramic, SMD, 470nF, 50V, 5%, X5R, 0603",C4,Unknown server,Unknown server,1,Taiyo Yuden,UMK107ABJ474KA-T,Volume Production,Mouser,963-UMK107ABJ474KA-T,0.18384,0.18384
,34,1uF 25V X7R 0603,1uF 25V X7R 0603 10%,"C11A, C11B",Unknown server,Unknown server,2,KEMET,C0603C105K3PACTU,Volume Production,Mouser,80-C0603C105K3P,0.21448,0.42896
,36,2u2 25V X6S 0603,2u2 25V X6S 0603,"C9A, C9B, C23",Unknown server,Unknown server,3,Murata,GRM188C81E225KE11D,Volume Production,Mouser,81-GRM188C81E225KE1D,0.24512,0.73536
,68,MM3Z3V6B,"Zener Diode, 3.6V V(Z), 2%, 0.2W, Silicon, Unidirectional","D5A, D5B, D5C, D21",Unknown server,Unknown server,4,onsemi,MM3Z3V6B,Volume Production,Mouser,512-MM3Z3V6B,0.24512,0.98048
,70,PMEG6030EVPX,"Rectifier Diode, Schottky, 1 Phase, 1 Element, 4.2A, 60V V(RRM), Silicon",D1,Unknown server,Unknown server,1,Nexperia,PMEG6030EVPX,Volume Production,Mouser,771-PMEG6030EVPX,0.8426,0.8426
,71,SMAZ12-13-F,Zener Diode 12V 1W ±5% Surface Mount SMA,"D6, D9, D13, D16",Unknown server,Unknown server,4,Diodes,SMAZ12-13-F,Volume Production,Mouser,621-SMAZ12-F,0.383,1.53
,72,SMAZ22-13-F,Zener Diode 22V 1W ±5% Surface Mount SMA,D19,Unknown server,Unknown server,1,Diodes,SMAZ22-13-F,Volume Production,Mouser,621-SMAZ22-13-F,0.47492,0.47492
,64,LED 0805 Green,"Led, Green, 570 Nm, 2 V, 30 Ma, 40 Mcd Rohs Compliant: Yes","DS3, DS4, DS11, DS12",Unknown server,Unknown server,4,Wurth Electronics,150080VS75000,Volume Production,Mouser,710-150080VS75000,0.29108,1.16
,62,IRLL024NTRPBF,"Power Field-Effect Transistor, 4.4A I(D), 55V, 0.065ohm, 1-Element, N-Channel, Silicon, Metal-oxide Semiconductor FET, TO-261AA",Q4,Unknown server,Unknown server,1,International Rectifier,IRLL024NTRPBF,,Mouser,942-IRLL024NTRPBF,0,0
,48,100R 1% 0603,100R 1% 0603,"R20, R28",Unknown server,Unknown server,2,Stackpole Electronics,RMCF0603FT100R,Volume Production,Mouser,708-RMCF0603FT100R,0.02604,0.26044
,37,4k7 1% 0603,4k7 1% 0603,"R17, R18, R22, R24, R29, R30, R33, R34A, R34B, R47",Unknown server,Unknown server,10,Bourns,CR0603-FX-4701ELF,Volume Production,Mouser,652-CR0603FX-4701ELF,0.02298,0.2298
,32,1k 1% 0603,1k 1% 0603 250mW,"R14A, R14B, R14C",Unknown server,Unknown server,3,Bourns,CR0603-FX-1001ELF,Volume Production,Mouser,652-CR0603FX-1001ELF,0.01992,0.19916
,42,10k 1% 0603,10k 1% 0603 100mW,"R13A, R13B, R16A, R16B, R16C, R42",Unknown server,Unknown server,6,TE Connectivity,CRGCQ0603F10K,Volume Production,Mouser,279-CRGCQ0603F10K,0.0429,0.42896
,45,34k8 1% 0603,34k8 1% 0603,R41,Unknown server,Unknown server,1,Stackpole Electronics,RMCF0603FT34K8,Volume Production,Mouser,708-RMCF0603FT34K8,0.1532,0.1532
,35,2M2 1% 0603,2M2 1% 0603 250mW,"R4, R5, R27",Unknown server,Unknown server,3,Yageo,RC0603FR-072M2L,Volume Production,Mouser,603-RC0603FR-072M2L,0.01226,0.12256
,52,390k 1% 0603,390k 1% 0603 250mW,R7,Unknown server,Unknown server,1,Yageo,RC0603FR-07390KL,Volume Production,Mouser,603-RC0603FR-07390KL,0.1532,0.1532
,51,240k 1% 0603,240k 1% 0603 250mW,R8,Unknown server,Unknown server,1,Stackpole Electronics,RMCF0603FT240K,Volume Production,Mouser,708-RMCF0603FT240K,0.1532,0.1532
,31,1k5 1% 0603,Res Thick Film 0603 1.5K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R,R9,Unknown server,Unknown server,1,Walsin Technologies,WR06X1501FTL,Volume Production,Mouser,791-WR06X1501FTL,0.1532,0.1532
,49,150k 1% 0603,150k 1% 0603 250mW,R10,Unknown server,Unknown server,1,Walsin Technologies,WR06X1503FTL,Volume Production,Mouser,791-WR06X1503FTL,0.1532,0.1532
,46,60R4 1% 0603,60R4 1% 0603,"R11A, R11B, R12A, R12B",Unknown server,Unknown server,4,Panasonic,ERJ-3EKF60R4V,Volume Production,Mouser,667-ERJ-3EKF60R4V,0.04749,0.47492
,58,DSC1101CI5-020.0000T,"CMOS Output Clock Oscillator, 20MHz Nom",U9,Unknown server,Unknown server,1,Microchip,DSC1101CI5-020.0000T,Volume Production,Mouser,998-1101CI5020.0000T,2.19,2.19
