,Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,39,G5V-2-DC12,Low Signal Relay 12VDC Coil 8-Blade Terminal 125VAC/DC 2A 2 Poles PCB Mounting DPDT,"K1, K2",Unknown server,Unknown server,2,Omron,G5V-2-DC12,Volume Production,Arrow Electronics,G5V-2-DC12,3.26,6.52
,33,66200221022,"WR-MPC3 Dual Row Right Angled Header with Plastic Pegs, THT, pitch 3mm, 2pins","P1, P2",Unknown server,Unknown server,2,Molex,43045-0201,Volume Production,Arrow Electronics,43045-0201,1.21,2.43
,34,66200421022,"WR-MPC3 Dual Row Right Angled Header with Plastic Pegs, THT, pitch 3mm, 4pins",P4,Unknown server,Unknown server,1,Molex,43045-0401,Volume Production,Arrow Electronics,43045-0401,0.80832,0.80832
,7,2N7002K,N-Channel 60V 300mA (Ta) 350mW (Ta) Surface Mount SOT-23 (TO-236AB),Q2,Unknown server,Unknown server,1,Infineon,BSS7728NH6327XTSA2,Obsolete,,,,
,29,3313J-1-103E,SMD Cermet Trimmer Resistor w/J-Hook Term.; 10kOhm +/-20% 0.125W +/-150ppm/degC,R53,Unknown server,Unknown server,1,Bourns,3313J-1-103E,Volume Production,Digikey,3313J-103ECT-ND,2.44,2.44
,46,SMAZ12-13-F,Zener Diode 12V 1W ±5% Surface Mount SMA,D5,Unknown server,Unknown server,1,Diodes,SMAZ12-13-F,Volume Production,Digikey,SMAZ12-FDICT-ND,0.38646,0.38646
,45,PMEG6030EVPX,"Rectifier Diode, Schottky, 1 Phase, 1 Element, 4.2A, 60V V(RRM), Silicon","D9, D11",Unknown server,Unknown server,2,Nexperia,PMEG6030EVPX,Volume Production,Digikey,1727-1349-1-ND,0.85021,1.7
,47,SMAZ22-13-F,Zener Diode 22V 1W ±5% Surface Mount SMA,D10,Unknown server,Unknown server,1,Diodes,SMAZ22-13-F,Volume Production,Digikey,SMAZ22-FDICT-ND,0.47921,0.47921
,23,100R 1% 0603,100R 1% 0603,"R24, R32, R39, R49",Unknown server,Unknown server,4,Stackpole Electronics,RMCF0603FT100R,Volume Production,Mouser,708-RMCF0603FT100R,0.02164,0.21642
,6,2M2 1% 0603,2M2 1% 0603 250mW,"R25, R26, R33, R35, R48",Unknown server,Unknown server,5,Yageo,RC0603FR-072M2L,Volume Production,Newark,49AK1932,0.00464,0.02319
