,Line #,Quantity,Name,Description,Manufacturer Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1,Designator,Revision ID,Revision Status,Manufacturer 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1
,12,2,USBLC6-4SC6,"Trans Voltage Suppressor Diode, 5V V(RWM), Unidirectional, 1 Element, Silicon",USBLC6-4SC6,0.2672,0.5344,"D2, D4",Unknown server,Unknown server,STMicroelectronics,Volume Production,Arrow Electronics,USBLC6-4SC6
,14,32,BLM18KG102SH1D,"Ferrite Chip, 1 Function(s), 0.8A, 2 Pin(s)",BLM18KG102SH1D,0.044,1.41,"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9, FB10, FB11, FB12, FB13, FB14, FB15, FB16, FB17, FB18, FB19, FB20, FB21, FB22, FB23, FB24, FB25, FB26, FB27, FB28, FB29, FB30, FB31, FB32",Unknown server,Unknown server,Murata,Volume Production,Digikey,490-17348-1-ND
,17,2,IRLR3410TRPBF,"Power Field-Effect Transistor, 17A I(D), 100V, 0.125ohm, 1-Element, N-Channel, Silicon, Metal-oxide Semiconductor FET, TO-252AA",IRLR3410TRPBF,0.87,1.74,"Q1, Q17",Unknown server,Unknown server,Infineon,Volume Production,Mouser,942-IRLR3410TRPBF
,18,2,SI2324A-TP,MOSFET N-CH 100V 2A SOT23,SI2324A-TP,0.42,0.84,"Q16, Q32",Unknown server,Unknown server,MCC,Volume Production,Digikey,SI2324A-TPMSCT-ND
,26,3,hm2106nl,Datacom Transformer,HM2106NL,3.44,10.32,"T1, T2, T3",Unknown server,Unknown server,Pulse,Volume Production,Digikey,553-HM2106NL-ND
,2,2,2u2 100V X7R 1210,2u2 100V X7R 1210,CL32B225KCJSNNE,0.3601,0.72021,"C1, C46",Unknown server,Unknown server,Samsung,Volume Production,Farnell,4539095
,,2,SMA6T82AY,"Trans Voltage Suppressor Diode, 600W, 70V V(RWM), Unidirectional, 1 Element, Silicon, DO-214AC",SMA6T82AY,0.58,1.16,"D1, D3",Unknown server,Unknown server,STMicroelectronics,Volume Production,Digikey,497-11837-1-ND
,13,34,C2Q4,Fuse Chip Very Fast Acting 4A,C2Q4,0.232,7.89,"F1, F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13, F14, F15, F18, F20, F21, F22, F23, F24, F25, F26, F27, F28, F29, F30, F31, F32, F33, F34, F36, F39, F40",Unknown server,Unknown server,Bel,Volume Production,Mouser,530-C2Q4
,,14,BSS308PE,"Small Signal Field-Effect Transistor, 2A I(D), 30V, 1-Element, P-Channel, Silicon, Metal-oxide Semiconductor FET",BSS308PEH6327XTSA1,,,"Q2, Q4, Q6, Q8, Q10, Q12, Q14, Q18, Q20, Q22, Q24, Q26, Q28, Q30",Unknown server,Unknown server,Infineon,Volume Production,,
,,14,"SSM3K2615R,LF","Small Signal Field-Effect Transistor, 2A I(D), 60V, 1-Element, N-Channel, Silicon, Metal-oxide Semiconductor FET","SSM3K2615R,LF",0.2199,3.08,"Q3, Q5, Q7, Q9, Q11, Q13, Q15, Q19, Q21, Q23, Q25, Q27, Q29, Q31",Unknown server,Unknown server,Toshiba,Volume Production,Arrow Electronics,"SSM3K2615R,LF"
