,Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,11,2u2 100V X7R 1210,2u2 100V X7R 1210,"C1, C5",CMP-001-00115-4,Up to date,2,Samsung,CL32B225KCJSNNE,Volume Production,Mouser,187-CL32B225KCJSNNE,0.4592,4.59
,25,10uF 25V X7R 0805,10uF 25V X7R 0805,"C3, C7",CMP-001-00098-4,Up to date,2,Murata,GRM21BZ71E106KE15L,Volume Production,Mouser,81-GRM21BZ71E106KE5L,0.18798,1.87977
,34,100nF 50V X7R 0603,100nF 50V X7R 0603,"C2, C6",CMP-001-00146-9,Out of date,2,Samsung,CL10B104KB8NNWC,Volume Production,Mouser,187-CL10B104KB8NNWC,0.02662,0.2662
,7,1u 25V X6S 0402,1u 25V X6S 0402,"C22, C26",CMP-001-00173-1,Out of date,2,Murata,GRM155C81E105KE11J,Volume Production,Mouser,81-GRM155C81E105KE1J,0.04448,0.44483
,33,100n 50V X7R 0402,100n 50V X7R 0402,"C9A, C9B, C12, C13, C14, C15, C18, C20, C21, C23, C25, C27, C29, C30, C31, C37A, C37B, C38A, C38B, C41A, C41B, C41C, C41D, C41E, C41F",CMP-001-00162-1,Out of date,25,Murata,GRM155R71H104KE14J,Volume Production,Mouser,81-GRM155R71H104KE4J,0.01865,2.33178
,17,4u7 16 V X7R 0603,4u7 16 V X7R 0603,"C17, C19",CMP-001-00088-8,Up to date,2,Murata,GRM21BR71C475KE51L,Volume Production,Mouser,81-GRM21BR71C475KE1L,0.07462,0.74617
,23,10n 50V X7R 0402,10n 50V X7R 0402,"C24, C28, C43A, C43B, C43C, C43D",CMP-001-00174-1,Out of date,6,Wurth Electronics,885012205067,Unknown,Mouser,710-885012205067,0.02439,0.73182
,38,470nF 50V 5% X5R 0603,"Capacitor, Ceramic, SMD, 470nF, 50V, 5%, X5R, 0603",C35,CMP-001-00137-12,Up to date,1,Taiyo Yuden,UMK107ABJ474KA-T,Volume Production,Mouser,963-UMK107ABJ474KA-T,0.07605,0.76052
,19,4u7 50V 5% X7R 0603,"Capacitor, Ceramic, SMD, 4u7, 50V, 5%, X7R, 0603","C36, C39A, C39B, C39C, C39D, C39E, C39F, C42A, C42B, C42C, C42D, C44A, C44B, C44C, C44D",CMP-001-00106-9,Up to date,15,Kyocera AVX,06033C470KAT2A,Volume Production,Mouser,581-06033C470KAT2A,0.10332,7.74869
,26,10uF 50V X7R 1206,10uF 50V X7R 1206,"C40A, C40B, C40C, C40D, C40E, C40F",CMP-001-00152-2,Up to date,6,Samsung,CL31B106KBHNNNE,Volume Production,Mouser,187-CL31B106KBHNNNE,0.24956,7.49
,56,PMEG6030EVPX,"Rectifier Diode, Schottky, 1 Phase, 1 Element, 4.2A, 60V V(RRM), Silicon",D4,CMP-004-00047-3,Up to date,1,Nexperia,PMEG6030EVPX,Volume Production,Mouser,771-PMEG6030EVPX,1.06186,5.30929
,54,NUP2105L,NUP2105L,"D1A, D1B",,,2,,,,,,,
,39,824012823,"WE-TVS TVS Diode – Super Speed Series, DFN1210-6L, 2 Channel, 3.3V, 0.18pF","D2A, D2B, D2C, D2D, D2E, D2F, D2G, D2H, D2I, D2J, D2K",CMP-004-00459-2,Up to date,11,Wurth Electronics,824012823,Unknown,Mouser,710-824012823,0.90258,49.64182
,5,1N4448WQ-7-F,"Diode, SMD, 75V, 5%, 250mA, SOD123",D6,CMP-004-00040-5,Up to date,1,Diodes,1N4448WQ-7-F,Volume Production,Mouser,621-1N4448WQ-7-F,0.08323,0.83227
,46,LED 0805 Green,"Led, Green, 570 Nm, 2 V, 30 Ma, 40 Mcd Rohs Compliant: Yes","DS1, DS2, DS3, DS4, DS5, DS6, DS7, DS10",CMP-007-00060-3,Up to date,8,Wurth Electronics,150080VS75000,Unknown,Mouser,710-150080VS75000,0.26833,10.73337
,47,LED 0805 RED,LED 0805 RED,"DS8, DS9",CMP-007-00067-4,Up to date,2,Broadcom Avago,HSMS-C170,Volume Production,Mouser,630-HSMS-C170,0.28699,2.86988
,1,3221-14-0100-00,CONN HEADER VERT 14POS 1.27MM,J1,CMP-002-00412-2,Up to date,1,CNC Tech,3221-14-0100-00,Unknown,,,,
,12,3-6437285-2,"Super Seal Connector Header Through Hole, Right Angle 60 position 0.118"" (3.00mm) ** Key 1 **",J2,CMP-191-000000-2,Out of date,1,TE Connectivity AMP,3-6437285-2,Volume Production,Mouser,571-3-6437285-2,40.28,201.4
,9,"2k2, 1%, 0603","2k2, 1%, 0603 250mW",R6,CMP-009-00190-7,Out of date,1,TE Connectivity,CRGP0603F2K2,Volume Production,Mouser,279-CRGP0603F2K2,0.08036,0.80357
,22,10k 1% 0402,10k 1% 0402 0.063W,"R7A, R7B, R20, R21, R42A, R42B, R45A, R45B",CMP-009-00337-1,Up to date,8,Walsin Technologies,WR04X1002FTL,Volume Production,Mouser,791-WR04X1002FTL,0.01004,0.40178
,35,150k 1% 0603,150k 1% 0603 250mW,"R11A, R11B, R11C, R11D, R11E, R11F, R11G, R11H, R11I, R11J, R11K, R15A, R15B, R15C, R15D, R15E, R15F, R15G, R15H, R15I, R15J, R15K, R34",CMP-009-00267-5,Out of date,23,Walsin Technologies,WR06X1503FTL,Volume Production,Mouser,791-WR06X1503FTL,0.01004,1.15513
,13,3k3 1% 0603,3k3 1% 0603 0.1 mW,"R22, R23, R24, R25, R48A, R48B, R48C, R48D",CMP-009-00252-4,Out of date,8,Panasonic,ERJ-3EKF3301V,Volume Production,Mouser,667-ERJ-3EKF3301V,0.03731,1.49234
,8,2k2 1% 0402,2k2 1% 0402 0.063W,"R18, R19, R46A, R46B, R46C, R46D, R46E, R46F, R47A, R47B, R47C, R47D, R47E, R47F",CMP-009-00357-1,Up to date,14,Walsin Technologies,WR04X2201FTL,Volume Production,,,,
,20,"6k2 1% 0603, 6k2 1% 0603 TF",6k2 1% 0603 100mW Thick Film,"R26, R35",CMP-009-00328-5,Out of date,2,Stackpole Electronics,RMCF0603FT6K20,Volume Production,Mouser,708-RMCF0603FT6K20,0.00861,0.0861
,10,2M2 1% 0603,2M2 1% 0603 250mW,"R27, R29",CMP-009-00270-5,Out of date,2,Yageo,RC0603FR-072M2L,Volume Production,Mouser,603-RC0603FR-072M2L,0.01148,0.1148
,37,390k 1% 0603,390k 1% 0603 250mW,R28,CMP-009-00268-5,Out of date,1,Yageo,RC0603FR-07390KL,Volume Production,Mouser,603-RC0603FR-07390KL,0.01148,0.1148
,36,240k 1% 0603,240k 1% 0603 250mW,R30,CMP-009-00269-5,Out of date,1,Stackpole Electronics,RMCF0603FT240K,Volume Production,Mouser,708-RMCF0603FT240K,0.00861,0.0861
,21,7k5 1% 0603,7k5 1% 0603 250mW,"R31, R32",CMP-009-00273-5,Out of date,2,Stackpole Electronics,RMCF0603FT7K50,Volume Production,Mouser,708-RMCF0603FT7K50,0.00861,0.0861
,3,1k5 1% 0603,Res Thick Film 0603 1.5K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R,R33,CMP-009-00320-3,Out of date,1,Walsin Technologies,WR06X1501FTL,Volume Production,Mouser,791-WR06X1501FTL,0.01291,0.12914
,49,LMR51610YFDBVR,SIMPLE SWITCHER POWER CONVERTER Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 1A SOT-23-6,"U1, U2",CMP-019-00067-2,Up to date,2,Texas Instruments,LMR51610YFDBVR,Volume Production,Mouser,595-LMR51610YFDBVR,1.53539,15.35388
,61,TCAN337GDCNR,"Interface Circuit, PDSO8","U3A, U3B",CMP-015-00014-3,Up to date,2,Texas Instruments,TCAN337GDCNR,Volume Production,Mouser,595-TCAN337GDCNR,3.04208,30.42077
,59,STLINK-V3MODS,STLINK-V3 Modular In-Circuit Debugger and Programmer for STM32 Microcontrollers,U4,CMP-183-000000-3,Up to date,1,,,,,,,
,42,AT24C16D-STUM-T,AT24C16D Series 16-Kbit (2K x 8) I²C-Compatible (2-Wire) Serial EEPROM-SOT-23-5,U7,CMP-019-00061-1,Up to date,1,Microchip,AT24C16D-STUM-T,Volume Production,Mouser,556-AT24C16D-STUM-T,0.58833,2.94163
,53,MX35LF1G24AD-Z4I-T,NAND Flash Memory 1Gbit Serial-SPI 3V 8-Pin WSON T/R,U8,CMP-019-00063-1,Up to date,1,Macronix,MX35LF1G24AD-Z4I/TR,Unknown,,,,
,44,DSC1101CI5-020.0000T,"CMOS Output Clock Oscillator, 20MHz Nom",U6,CMP-003-00030-4,Up to date,1,Microchip,DSC1101CI5-020.0000T,Volume Production,Mouser,998-1101CI5020.0000T,1.67888,1678.88214
,60,STM32G484QET6,"Arm Cortex-M4 MCU 170 MHz with 512 Kbytes of Flash memory, Math Accelerator, HR Timer, High Analog level integration, Crypto",U9,CMP-020-00029-4,Out of date,1,STMicroelectronics,STM32G484QET6,Volume Production,Mouser,511-STM32G484QET6,14.47856,72.39282
,51,MAX17608ATC+T,"Power Supply Support Circuit, Adjustable, 1 Channel, PDSO12",U10,CMP-001-0002-6,Out of date,1,Maxim,MAX17608ATC+T,Unknown,Mouser,700-MAX17608ATC+T,11.03,55.15
,29,35ZLH390MEFC8X20,"Aluminum Electrolytic Capacitor, Polarized, Aluminum (wet), 35V, 20% +Tol, 20% -Tol, 390uF, Through Hole Mount","C32, C33, C34",CMP-001-00327-1,Up to date,3,Rubycon,35ZLH390MEFC8X20,Volume Production,Mouser,232-35ZLH390MEFC8X20,0.43048,6.45724
,6,"1SS367,H3F","Rectifier Diode, Schottky, 1 Phase, 1 Element, 0.1A, 15V V(RRM), Silicon",D3,CMP-004-00489-1,Up to date,1,Toshiba,"1SS367,H3F",Volume Production,Mouser,757-1SS367H3F,0.21524,1.07621
,24,10nF 50V C0G 0603,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 5% +Tol, 5% -Tol, C0G, 30ppm/Cel TC, 0.01uF, Surface Mount, 0603","C10A, C10B, C10C, C10D, C10E, C10F, C10G, C10H, C10I, C10J, C10K, C11A, C11B, C11C, C11D, C11E, C11F, C11G, C11H, C11I, C11J, C11K",CMP-001-00328-1,Up to date,22,Murata,GRM1885C1H103JA01D,Volume Production,Mouser,81-GRM1885C1H103JA1D,0.05596,6.1559
,52,MRA4007T3G,"Rectifier Diode, 1 Phase, 1 Element, 1A, 1000V V(RRM), Silicon","D7A, D7B, D7C, D7D",CMP-004-00490-1,Up to date,4,ON Semiconductor,MRA4007T3G,Volume Production,Mouser,863-MRA4007T3G,0.17076,3.41516
,48,LED Green 0603,LED Green 0603,"DS11A, DS11B, DS11C, DS11D",CMP-007-00044-1,Up to date,4,Vishay Lite-On,LTST-C190GKT,Not Recommended for New Design,,,,
